epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5943,0.90089,3.04985,1.29425,0.01447,0.96296,0.24468,0.18286,0.61852,3.00419,1.11155,0.00032867,0.00032867,0.00032867
2,46.4006,1.05768,2.54908,1.38919,0.00606,0.93241,0.35985,0.25768,0.8254,2.92554,1.36003,0.000663319,0.000663319,0.000663319
3,55.7909,1.08683,2.23402,1.42633,0.6686,0.18981,0.33633,0.24425,1.09591,2.66288,1.6012,0.000989479,0.000989479,0.000989479
4,64.489,1.21498,2.26759,1.52333,0.27216,0.52037,0.30933,0.19666,1.231,2.44958,1.75802,0.00130715,0.00130715,0.00130715
5,72.2749,1.16186,2.09297,1.44836,0.44922,0.30134,0.23338,0.16387,1.23024,2.76078,1.76874,0.00135826,0.00135826,0.00135826
6,81.7614,1.18033,2.06975,1.47255,0.29726,0.41944,0.28326,0.18582,1.28382,3.14222,1.79797,0.00134058,0.00134058,0.00134058
7,89.0392,1.15375,1.91857,1.44516,0.15199,0.22178,0.11057,0.07531,1.47413,2.99092,1.85754,0.0013229,0.0013229,0.0013229
8,98.2586,1.14368,1.87378,1.43528,0.34195,0.44444,0.32586,0.24436,0.90907,2.3249,1.37261,0.00130521,0.00130521,0.00130521
9,105.748,1.11146,1.82156,1.42602,0.43703,0.21936,0.22176,0.14954,1.0534,2.75199,1.55098,0.00128753,0.00128753,0.00128753
10,114.938,1.11104,1.75992,1.41106,0.65692,0.47363,0.56183,0.4299,0.96717,1.79587,1.46299,0.00126985,0.00126985,0.00126985
11,123.295,1.10423,1.74389,1.43356,0.51298,0.28472,0.3415,0.24596,1.25891,2.27425,1.64572,0.00125216,0.00125216,0.00125216
12,131.5,1.0403,1.65897,1.36331,0.61642,0.53843,0.62888,0.47576,0.96581,1.70287,1.47397,0.00123448,0.00123448,0.00123448
13,140.661,1.07367,1.58726,1.38449,0.42942,0.4962,0.4687,0.35324,1.04014,1.68513,1.59531,0.00121679,0.00121679,0.00121679
14,147.968,1.07141,1.58784,1.36191,0.50161,0.47361,0.53361,0.40878,0.95751,1.6508,1.44495,0.00119911,0.00119911,0.00119911
15,157.199,1.04001,1.49559,1.36682,0.53867,0.61713,0.55449,0.44126,0.84926,1.62655,1.33819,0.00118143,0.00118143,0.00118143
16,164.424,1.07822,1.51345,1.39962,0.71103,0.5514,0.68063,0.49106,0.89607,1.32243,1.34127,0.00116374,0.00116374,0.00116374
17,173.675,0.98119,1.42823,1.32636,0.5045,0.59978,0.54515,0.4198,0.85731,1.59027,1.2923,0.00114606,0.00114606,0.00114606
18,181.039,1.02787,1.40469,1.37322,0.68676,0.65779,0.76208,0.61008,0.87794,1.27423,1.33463,0.00112837,0.00112837,0.00112837
19,190.172,0.97002,1.33185,1.30853,0.62516,0.33579,0.22347,0.1388,1.56947,3.22742,1.99065,0.00111069,0.00111069,0.00111069
20,198.181,0.99465,1.34786,1.32634,0.80451,0.54388,0.63773,0.51556,0.8265,1.25008,1.29252,0.00109301,0.00109301,0.00109301
21,206.746,0.99645,1.37809,1.35841,0.57086,0.68935,0.66301,0.45649,0.89348,1.3091,1.31734,0.00107532,0.00107532,0.00107532
22,215.764,0.97568,1.28672,1.31933,0.74056,0.58699,0.73208,0.58593,0.8316,1.26509,1.29046,0.00105764,0.00105764,0.00105764
23,223.231,0.95608,1.2721,1.3058,0.67442,0.75231,0.7686,0.61381,0.7889,1.1769,1.25007,0.00103995,0.00103995,0.00103995
24,232.523,0.93278,1.19387,1.2753,0.7655,0.73998,0.82658,0.66079,0.80927,0.92178,1.26433,0.00102227,0.00102227,0.00102227
25,239.759,0.97342,1.18567,1.31019,0.81627,0.73875,0.81435,0.68451,0.73022,0.91176,1.20846,0.00100459,0.00100459,0.00100459
26,248.815,0.93685,1.12685,1.28321,0.63915,0.77269,0.76455,0.62658,0.79486,0.96,1.22992,0.000986903,0.000986903,0.000986903
27,256.088,0.92662,1.13511,1.28813,0.79968,0.82938,0.85808,0.71133,0.68055,0.86439,1.15991,0.000969219,0.000969219,0.000969219
28,265.287,0.91544,1.07994,1.28257,0.51298,0.64711,0.60959,0.49486,0.72926,1.41551,1.17972,0.000951535,0.000951535,0.000951535
29,273.422,0.89512,1.0759,1.27786,0.69498,0.73713,0.8261,0.68008,0.67448,0.96799,1.15241,0.000933851,0.000933851,0.000933851
30,281.768,0.87581,1.09289,1.24148,0.55906,0.7191,0.71332,0.58372,0.74629,1.18104,1.19015,0.000916168,0.000916168,0.000916168
31,290.885,0.90309,1.07282,1.2669,0.75997,0.67902,0.78111,0.63344,0.7262,1.10023,1.19295,0.000898484,0.000898484,0.000898484
32,298.216,0.9145,1.06873,1.27837,0.82608,0.83148,0.88858,0.76267,0.63995,0.77501,1.12327,0.0008808,0.0008808,0.0008808
33,307.394,0.89021,1.0211,1.26419,0.91286,0.81376,0.89329,0.76534,0.65465,0.79791,1.15562,0.000863116,0.000863116,0.000863116
34,314.652,0.8769,1.0262,1.23875,0.84888,0.77591,0.85139,0.73092,0.61917,0.7443,1.11093,0.000845432,0.000845432,0.000845432
35,323.954,0.8529,0.95775,1.22209,0.78135,0.77738,0.8634,0.74987,0.61472,0.7401,1.12435,0.000827748,0.000827748,0.000827748
36,331.714,0.84331,0.96522,1.22668,0.85436,0.87315,0.92193,0.77925,0.60567,0.69614,1.08612,0.000810064,0.000810064,0.000810064
37,340.582,0.83863,0.96107,1.22459,0.75743,0.8786,0.91334,0.76846,0.61028,0.75126,1.09288,0.00079238,0.00079238,0.00079238
38,349.417,0.80361,0.94311,1.1902,0.8683,0.85741,0.93905,0.80159,0.61647,0.68086,1.09209,0.000774697,0.000774697,0.000774697
39,357.295,0.82526,0.90675,1.22288,0.89349,0.83087,0.92721,0.80884,0.57633,0.6309,1.07931,0.000757013,0.000757013,0.000757013
40,366.524,0.82178,0.89891,1.19815,0.90072,0.85,0.94044,0.80708,0.56997,0.60717,1.05148,0.000739329,0.000739329,0.000739329
41,373.748,0.81275,0.88664,1.20121,0.91582,0.87599,0.94394,0.8171,0.57516,0.53802,1.05401,0.000721645,0.000721645,0.000721645
42,382.985,0.83991,0.92116,1.2166,0.86925,0.83209,0.88897,0.77937,0.57646,0.64866,1.05706,0.000703961,0.000703961,0.000703961
43,390.401,0.80811,0.85975,1.18284,0.89868,0.93609,0.94742,0.81658,0.57648,0.53354,1.07052,0.000686277,0.000686277,0.000686277
44,399.607,0.77828,0.86961,1.18951,0.81916,0.84449,0.90258,0.77317,0.59724,0.70748,1.08319,0.000668593,0.000668593,0.000668593
45,407.168,0.81001,0.8577,1.19541,0.85762,0.86785,0.93253,0.82525,0.56858,0.63452,1.03851,0.000650909,0.000650909,0.000650909
46,416.163,0.79852,0.8509,1.18489,0.95304,0.92824,0.97168,0.85143,0.53853,0.47151,1.02481,0.000633226,0.000633226,0.000633226
47,424.951,0.77553,0.79596,1.18106,0.9541,0.8872,0.9507,0.83314,0.55425,0.50079,1.03197,0.000615542,0.000615542,0.000615542
48,432.637,0.77699,0.78103,1.18277,0.91849,0.88088,0.95847,0.84665,0.54758,0.48739,1.0492,0.000597858,0.000597858,0.000597858
49,441.858,0.74494,0.79062,1.15771,0.89827,0.91111,0.96365,0.85569,0.52729,0.48705,1.03024,0.000580174,0.000580174,0.000580174
50,449.443,0.76874,0.8026,1.17331,0.94177,0.93867,0.97521,0.85096,0.53788,0.4707,1.02962,0.00056249,0.00056249,0.00056249
51,458.682,0.75933,0.76587,1.1632,0.99265,0.92546,0.97967,0.86482,0.50036,0.42415,1.00221,0.000544806,0.000544806,0.000544806
52,466.064,0.75621,0.78069,1.14741,0.98074,0.89424,0.97064,0.8523,0.52356,0.46151,1.01769,0.000527122,0.000527122,0.000527122
53,475.591,0.74716,0.76677,1.16868,0.93307,0.95753,0.97493,0.8694,0.50573,0.4198,0.99913,0.000509438,0.000509438,0.000509438
54,483.832,0.73349,0.75145,1.14154,0.96713,0.93706,0.97698,0.86223,0.49355,0.4401,1.00319,0.000491755,0.000491755,0.000491755
55,492.267,0.74206,0.75536,1.15322,0.96808,0.9497,0.98095,0.86933,0.48996,0.40827,0.99349,0.000474071,0.000474071,0.000474071
56,501.635,0.73879,0.73147,1.15383,0.96995,0.95722,0.98146,0.88826,0.48878,0.40554,0.98185,0.000456387,0.000456387,0.000456387
57,509.377,0.7098,0.71014,1.14275,0.98318,0.96148,0.98578,0.88053,0.47911,0.37005,0.97844,0.000438703,0.000438703,0.000438703
58,518.505,0.71645,0.68698,1.13243,0.94433,0.97685,0.98741,0.86949,0.49915,0.39008,0.98887,0.000421019,0.000421019,0.000421019
59,526.019,0.73014,0.72426,1.15487,0.9637,0.9692,0.98782,0.88416,0.49249,0.3904,0.98791,0.000403335,0.000403335,0.000403335
60,535.174,0.70357,0.7415,1.13145,0.94989,0.97011,0.98586,0.8776,0.48396,0.42596,0.98136,0.000385651,0.000385651,0.000385651
61,542.89,0.74295,0.71068,1.16243,0.91395,0.94959,0.98622,0.87926,0.48889,0.42471,0.97837,0.000367967,0.000367967,0.000367967
62,552.08,0.71115,0.6883,1.12382,0.9563,0.96222,0.98602,0.88955,0.46855,0.37746,0.97391,0.000350284,0.000350284,0.000350284
63,560.558,0.6993,0.64994,1.12138,0.97213,0.97197,0.98731,0.89184,0.45208,0.35716,0.96605,0.0003326,0.0003326,0.0003326
64,568.74,0.68723,0.6296,1.12104,0.97519,0.97222,0.9913,0.89905,0.44306,0.34452,0.95927,0.000314916,0.000314916,0.000314916
65,578.055,0.69892,0.63903,1.12047,0.98378,0.96895,0.99176,0.90814,0.44346,0.3383,0.95755,0.000297232,0.000297232,0.000297232
66,585.41,0.69417,0.62591,1.12892,0.98534,0.96967,0.99156,0.91671,0.43732,0.33922,0.95463,0.000279548,0.000279548,0.000279548
67,594.74,0.6432,0.61977,1.09802,0.96937,0.97202,0.98976,0.90875,0.43367,0.34349,0.94694,0.000261864,0.000261864,0.000261864
68,602.119,0.65121,0.58946,1.10011,0.99781,0.95349,0.989,0.90717,0.42979,0.34567,0.94315,0.00024418,0.00024418,0.00024418
69,611.382,0.66633,0.65794,1.11866,0.98832,0.95916,0.98925,0.91027,0.43802,0.34883,0.95223,0.000226497,0.000226497,0.000226497
70,619.939,0.64382,0.58178,1.10319,0.97255,0.9708,0.98986,0.90736,0.42757,0.32951,0.93555,0.000208813,0.000208813,0.000208813
71,630.442,0.50199,0.50995,1.00348,0.96517,0.98148,0.99074,0.90334,0.42073,0.32647,0.93111,0.000191129,0.000191129,0.000191129
72,639.954,0.50318,0.47457,0.98702,0.98079,0.97524,0.9914,0.91737,0.42292,0.33002,0.92058,0.000173445,0.000173445,0.000173445
73,647.211,0.48621,0.45149,1.0036,0.98082,0.97953,0.99185,0.91342,0.40696,0.30447,0.92223,0.000155761,0.000155761,0.000155761
74,656.387,0.49424,0.45025,0.99748,0.98688,0.98175,0.9928,0.91967,0.40615,0.30459,0.92621,0.000138077,0.000138077,0.000138077
75,663.898,0.47229,0.43532,0.99997,0.98393,0.9827,0.99337,0.91233,0.40081,0.30412,0.92216,0.000120393,0.000120393,0.000120393
76,672.735,0.45576,0.40611,0.95261,0.98327,0.98405,0.99402,0.91639,0.39834,0.30989,0.92865,0.000102709,0.000102709,0.000102709
77,680.716,0.44382,0.3834,0.96066,0.98227,0.98439,0.99389,0.92267,0.38772,0.29842,0.91828,8.50255e-05,8.50255e-05,8.50255e-05
78,688.958,0.46415,0.40942,0.98181,0.9846,0.9843,0.9939,0.91968,0.39086,0.29929,0.91496,6.73416e-05,6.73416e-05,6.73416e-05
